y_over_L,Nu_local
0.011111,3.318776
0.033333,3.427372
0.055556,3.499200
0.077778,3.549496
0.100000,3.583795
0.122222,3.603066
0.144444,3.608022
0.166667,3.599009
0.188889,3.577047
0.211111,3.543140
0.233333,3.498263
0.255556,3.443293
0.277778,3.379066
0.300000,3.306362
0.322222,3.225922
0.344444,3.138446
0.366667,3.044604
0.388889,2.945045
0.411111,2.840398
0.433333,2.731280
0.455556,2.618301
0.477778,2.502063
0.500000,2.383167
0.522222,2.262215
0.544444,2.139818
0.566667,2.016593
0.588889,1.893184
0.611111,1.770258
0.633333,1.648532
0.655556,1.528775
0.677778,1.411840
0.700000,1.298659
0.722222,1.190277
0.744444,1.087824
0.766667,0.992532
0.788889,0.905670
0.811111,0.828524
0.833333,0.762326
0.855556,0.708173
0.877778,0.666991
0.900000,0.639416
0.922222,0.626627
0.944444,0.630601
0.966667,0.659747
0.988889,0.747683
