i,r_from_center,phi_lbm,phi_analytic,abs_error
0,25.000,-9.998788e-01,-9.999092e-01,3.042226e-05
1,24.000,-9.997902e-01,-9.997979e-01,7.755612e-06
2,23.000,-9.995705e-01,-9.995504e-01,2.018054e-05
3,22.000,-9.990705e-01,-9.989996e-01,7.091521e-05
4,21.000,-9.978754e-01,-9.977749e-01,1.005181e-04
5,20.000,-9.950037e-01,-9.950548e-01,5.105869e-05
6,19.000,-9.883771e-01,-9.890274e-01,6.503112e-04
7,18.000,-9.738626e-01,-9.757431e-01,1.880523e-03
8,17.000,-9.434331e-01,-9.468060e-01,3.372927e-03
9,16.000,-8.817983e-01,-8.853516e-01,3.553345e-03
10,15.000,-7.619040e-01,-7.615942e-01,3.098180e-04
11,14.000,-5.457865e-01,-5.370496e-01,8.736919e-03
12,13.000,-2.111724e-01,-1.973753e-01,1.379711e-02
13,12.000,1.893435e-01,1.973753e-01,8.031815e-03
14,11.000,5.361638e-01,5.370496e-01,8.857170e-04
15,10.000,7.632617e-01,7.615942e-01,1.667517e-03
16,9.000,8.874700e-01,8.853516e-01,2.118318e-03
17,8.000,9.488431e-01,9.468060e-01,2.037089e-03
18,7.000,9.774657e-01,9.757431e-01,1.722537e-03
19,6.000,9.903197e-01,9.890274e-01,1.292286e-03
20,5.000,9.959167e-01,9.950548e-01,8.619543e-04
21,4.000,9.982857e-01,9.977749e-01,5.107761e-04
22,3.000,9.992695e-01,9.989996e-01,2.698902e-04
23,2.000,9.996792e-01,9.995504e-01,1.288435e-04
24,1.000,9.998478e-01,9.997979e-01,4.985939e-05
25,0.000,9.998947e-01,9.999092e-01,1.448926e-05
26,1.000,9.998478e-01,9.997979e-01,4.985939e-05
27,2.000,9.996792e-01,9.995504e-01,1.288435e-04
28,3.000,9.992695e-01,9.989996e-01,2.698902e-04
29,4.000,9.982857e-01,9.977749e-01,5.107761e-04
30,5.000,9.959167e-01,9.950548e-01,8.619543e-04
31,6.000,9.903197e-01,9.890274e-01,1.292286e-03
32,7.000,9.774657e-01,9.757431e-01,1.722537e-03
33,8.000,9.488431e-01,9.468060e-01,2.037089e-03
34,9.000,8.874700e-01,8.853516e-01,2.118318e-03
35,10.000,7.632617e-01,7.615942e-01,1.667517e-03
36,11.000,5.361638e-01,5.370496e-01,8.857170e-04
37,12.000,1.893435e-01,1.973753e-01,8.031815e-03
38,13.000,-2.111724e-01,-1.973753e-01,1.379711e-02
39,14.000,-5.457865e-01,-5.370496e-01,8.736919e-03
40,15.000,-7.619040e-01,-7.615942e-01,3.098180e-04
41,16.000,-8.817983e-01,-8.853516e-01,3.553345e-03
42,17.000,-9.434331e-01,-9.468060e-01,3.372927e-03
43,18.000,-9.738626e-01,-9.757431e-01,1.880523e-03
44,19.000,-9.883771e-01,-9.890274e-01,6.503112e-04
45,20.000,-9.950037e-01,-9.950548e-01,5.105869e-05
46,21.000,-9.978754e-01,-9.977749e-01,1.005181e-04
47,22.000,-9.990705e-01,-9.989996e-01,7.091521e-05
48,23.000,-9.995705e-01,-9.995504e-01,2.018054e-05
49,24.000,-9.997902e-01,-9.997979e-01,7.755612e-06
50,25.000,-9.998788e-01,-9.999092e-01,3.042226e-05
